"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough"
"430","12X242","Mott Hall V",682,0.894,0.509,0.166,0.012,0.276,0.87,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"431","12X267","Bronx Latin",579,0.911,0.527,0.19,0.012,0.257,0.948,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"432","12X271","East Bronx Academy for the Future",671,0.928,0.486,0.258,0.009,0.294,0.927,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"433","12X273","Frederick Douglass Academy V. Middle School",224,0.921,0.473,0.371,0.009,0.254,0.893,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"434","12X286","Fannie Lou Hamer Middle School",276,0.93,0.493,0.236,0.025,0.239,0.884,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"435","12X300","The School of Science and Applied Learning",614,0.936,0.5,0.362,0.016,0.308,0.901,0,0,0,0,0,0,3,3,2,3,2,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"436","12X314","Fairmont Neighborhood School",317,0.951,0.492,0.36,0.028,0.312,0.981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"437","12X316","Kappa III",385,0.91,0.571,0.27,0.013,0.268,0.922,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"438","12X318","I.S. X318 Math, Science & Technology Through Arts",256,0.936,0.555,0.262,0.008,0.27,0.984,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"439","12X341","Accion Academy",151,0.935,0.523,0.245,0.02,0.285,0.921,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"440","12X383","Emolior Academy",259,0.913,0.544,0.247,0.031,0.274,0.923,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"441","12X458","Samara Community School",208,0.872,0.466,0.115,0.014,0.192,0.957,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx"
"442","12X463","Urban Scholars Community School",263,0.952,0.468,0.445,0.004,0.251,0.966,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"443","12X531","Archer Elementary School",501,0.897,0.511,0.251,0.024,0.265,0.97,0,0,0,0,0,0,2,2,2,2,2,0,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"444","12X536","P.S. 536",431,0.91,0.51,0.239,0.023,0.162,0.944,0,0,0,0,0,0,3,3,3,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"445","12X691","Bronx Little School",298,0.848,0.44,0.178,0.01,0.228,0.913,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx"
"446","13K003","P.S. 003 The Bedford Village",386,0.859,0.521,0.759,0.018,0.187,0.925,0,0,0,0,0,0,2,1,1,1,1,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Brooklyn"
