"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough","% Attendance","% Chronically Absent","Year"
"328","10X094","P.S. 094 Kings College School",1261,0.913,0.514,0.174,0.03,0.231,0.942,0,0,0,0,0,0,5,4,4,3,4,0,0,0,7,3,3,3,3,2,0,0,0,2,0,0,0,0,0,0,1,10,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.6","39.8","2017-18"
"329","10X095","P.S. 095 Sheila Mencher",1288,0.859,0.514,0.17,0.047,0.203,0.824,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,8,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","91.6","31.8","2017-18"
"330","10X118","J.H.S. 118 William W. Niles",1174,0.88,0.497,0.218,0.029,0.231,0.902,0,0,0,0,0,0,0,0,0,0,0,9,9,11,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,4,5,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","91.1","30.0","2017-18"
"331","10X141","Riverdale / Kingsbridge Academy (Middle School / H",1513,0.481,0.502,0.09,0.254,0.198,0.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","93.9","17.4","2017-18"
"332","10X159","P.S. 159 Luis Munoz Marin Biling",193,0.931,0.446,0.13,0.021,0.145,0.865,0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx","91.5","30.3","2017-18"
"333","10X205","P.S. 205 Fiorello LaGuardia",1019,0.953,0.467,0.122,0.056,0.223,0.908,0,0,0,0,0,0,5,5,5,4,4,0,0,0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.8","31.2","2017-18"
"334","10X206","I.S. 206 Ann Mersereau",207,0.954,0.507,0.13,0.005,0.333,0.913,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","90.3","37.7","2017-18"
"335","10X207","P.S. 207",308,0.881,0.581,0.075,0.078,0.198,0.86,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx","89.4","41.4","2017-18"
"336","10X209","P.S. 209",256,0.94,0.453,0.203,0,0.305,0.945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx","93.5","19.7","2017-18"
"337","10X225","Theatre Arts Production Company School",608,0.882,0.329,0.265,0.016,0.227,0.811,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","85.2","48.6","2017-18"
